UID,formula,Egap,Ecbm,Evbm,Evac,Efermi,wf,EA,IE,work_function
1640,Sr1 I2,3.6177,-1.7672,-5.3849,1.520118975,-5.165033,6.685151975,3.287318975,6.905018975,5.096168975
123,Ge1 S1,2.5153,-2.6847,-5.2,1.360626111,-4.9889978,6.349623911,4.045326111,6.560626111,5.302976111
255,C2,0.1168,-3.3464,-3.4632,0.791575802,-3.46316333,4.254739132,4.137975802,4.254775802,4.196375802
1591,Mg1 Br2,3.8101,-1.8803,-5.6904,1.388563371,-5.47709542,6.865658791,3.268863371,7.078963371,5.173913371
1579,Hf1 I2,0.742,-0.4843,-1.2263,1.985846569,-1.01220244,2.998049009,2.470146569,3.212146569,2.841146569
841,Ga2 S2,2.4228,-2.1887,-4.6115,1.660709014,-4.39687937,6.057588384,3.849409014,6.272209014,5.060809014
1660,Zn1 Br2,2.6766,-2.7727,-5.4493,1.280824514,-5.22904581,6.509870324,4.053524514,6.730124514,5.391824514
1592,Mg1 Cl2,4.8765,-1.6743,-6.5508,1.459502851,-6.33326665,7.792769501,3.133802851,8.010302851,5.572052851
1637,Sn1 I2,1.8883,-2.3691,-4.2574,1.666896151,-4.04480896,5.711705111,4.035996151,5.924296151,4.980146151
2821,W1 Se2,1.6278,-1.7333,-3.3611,1.718802964,-3.14862972,4.867432684,3.452102964,5.079902964,4.266002964
135,Pb1 S1,2.2904,-2.6217,-4.9121,2.029065108,-4.70094018,6.730005288,4.650765108,6.941165108,5.795965108
1646,Ti1 I2,0.6595,-1.1852,-1.8447,1.825832658,-1.62832566,3.454158318,3.011032658,3.670532658,3.340782658
2647,Ge1 S2,0.6976,-4.1347,-4.8323,1.559529927,-4.62092418,6.180454107,5.694229927,6.391829927,6.043029927
909,Zr2 Te2,0.0328,-2.0321,-2.0649,2.495262044,-2.04206523,4.537327274,4.527362044,4.560162044,4.543762044
122,Ge1 O1,2.0763,-3.5916,-5.6679,1.634766941,-5.45309062,7.087857561,5.226366941,7.302666941,6.264516941
2655,Hf1 S2,1.1976,-3.6311,-4.8287,1.503378822,-4.61292258,6.116301402,5.134478822,6.332078822,5.733278822
138,Sn1 O1,1.6324,-3.3288,-4.9612,1.720667664,-4.74894979,6.469617454,5.049467664,6.681867664,5.865667664
1379,Ba1 I2,4.0811,-1.544,-5.6251,1.263273067,-5.40508101,6.668354077,2.807273067,6.888373067,4.847823067
1578,Hf1 Cl2,0.9496,-1.0823,-2.0319,1.644201796,-1.82036407,3.464565866,2.726501796,3.676101796,3.201301796
2657,Hf1 Se2,0.5102,-3.5275,-4.0377,1.435157925,-3.82076415,5.255922075,4.962657925,5.472857925,5.217757925
2730,Pd1 O2,1.5063,-5.0571,-6.5634,1.088948053,-6.34926985,7.438217903,6.146048053,7.652348053,6.899198053
899,Tl2 Te2,0.6251,-2.9097,-3.5348,1.915218517,-3.31666333,5.231881847,4.824918517,5.450018517,5.137468517
1434,Os1 Cl2,1.4633,-1.7612,-3.2245,1.324452403,-3.01260252,4.337054923,3.085652403,4.548952403,3.817302403
1577,Hf1 Br2,0.817,-0.9818,-1.7988,1.590294779,-1.58831766,3.178612439,2.572094779,3.389094779,2.980594779
2658,Hf1 Se2,0.869,-3.9259,-4.7949,1.535851622,-4.58091618,6.116767802,5.461751622,6.330751622,5.896251622
3467,Rh2 Se2,0.3885,-1.9885,-2.377,2.107256878,-2.18493699,4.292193868,4.095756878,4.484256878,4.290006878
1485,Zn1 I2,2.0097,-2.4835,-4.4932,1.555947402,-4.27685537,5.832802772,4.039447402,6.049147402,5.044297402
821,Al2 Te2,2.1408,-1.1322,-3.273,2.077559926,-3.06061212,5.138172046,3.209759926,5.350559926,4.280159926
3411,Ga2 Se2,1.9946,-2.3364,-4.331,1.529353884,-4.11682336,5.646177244,3.865753884,5.860353884,4.863053884
1408,Hg1 Br2,2.1286,-3.6514,-5.78,1.1483206,-5.56511302,6.71343362,4.7997206,6.9283206,5.8640206
1557,Cd1 Cl2,3.2635,-3.4669,-6.7304,1.288296362,-6.50930186,7.797598222,4.755196362,8.018696362,6.386946362
1581,Hg1 Cl2,2.2173,-4.3612,-6.5785,1.292051733,-6.35727145,7.649323183,5.653251733,7.870551733,6.761901733
254,As2,1.519,-2.7472,-4.2662,0.999544378,-4.05281056,5.052354938,3.746744378,5.265744378,4.506244378
1404,Ge1 I2,2.1623,-2.1076,-4.2699,1.557201391,-4.06081216,5.618013551,3.664801391,5.827101391,4.745951391
842,Ga2 Se2,1.8492,-2.4547,-4.3039,1.52269843,-4.08481696,5.60751539,3.97739843,5.82659843,4.90199843
417,Pd2 F2,1.0636,-5.2388,-6.3024,1.414754337,-6.08521704,7.499971377,6.653554337,7.717154337,7.185354337
3474,Sc2 S2,0.4238,-2.9941,-3.4179,1.918072209,-3.21264253,5.130714739,4.912172209,5.335972209,5.124072209
1378,Ba1 Cl2,5.7166,-1.0777,-6.7943,0.929830076,-6.58131626,7.511146336,2.007530076,7.724130076,4.865830076
139,Sn1 S1,2.3338,-2.7393,-5.0731,1.594316563,-4.86097219,6.455288753,4.333616563,6.667416563,5.500516563
1463,Sr1 Cl2,5.8908,-1.1028,-6.9936,1.02600173,-6.78135627,7.807358,2.12880173,8.01960173,5.07420173
1377,Ba1 Br2,5.07,-1.3303,-6.4003,0.960153356,-6.18123624,7.141389596,2.290453356,7.360453356,4.825453356
1385,Cd1 I2,2.4672,-2.3507,-4.8179,1.484224771,-4.59691938,6.081144151,3.834924771,6.302124771,5.068524771
1381,Ca1 Cl2,5.8602,-1.1468,-7.007,1.202922309,-6.78935787,7.992280179,2.349722309,8.209922309,5.279822309
1644,Ti1 Br2,0.777,-1.7169,-2.4939,1.415374075,-2.28445689,3.699830965,3.132274075,3.909274075,3.520774075
2817,W1 O2,1.4475,-3.5421,-4.9896,1.479122081,-4.78095619,6.260078271,5.021222081,6.468722081,5.744972081
2740,Pt1 S2,1.8374,-3.0302,-4.8676,1.494169893,-4.65293058,6.147100473,4.524369893,6.361769893,5.443069893
1550,Ba1 Cl2,4.7793,-2.0099,-6.7892,1.137156809,-6.56531306,7.702469869,3.147056809,7.926356809,5.536706809
1438,Pb1 I2,2.5783,-2.2254,-4.8037,1.516285983,-4.58891778,6.105203763,3.741685983,6.319985983,5.030835983
850,In2 Te2,1.4953,-1.9862,-3.4815,1.989772702,-3.26065213,5.250424832,3.975972702,5.471272702,4.723622702
3409,Ga2 O2,1.6223,-4.0458,-5.6681,1.410483246,-5.45309062,6.863573866,5.456283246,7.078583246,6.267433246
1384,Cd1 Cl2,3.9847,-2.8259,-6.8106,1.166687766,-6.58931786,7.756005626,3.992587766,7.977287766,5.984937766
3412,Ga2 Te2,1.5049,-2.0308,-3.5357,1.801513134,-3.32466493,5.126178064,3.832313134,5.337213134,4.584763134
2727,Pb1 Se2,1.8887,-2.3512,-4.2399,0.875379626,-4.02080416,4.896183786,3.226579626,5.115279626,4.170929626
1549,Ba1 Br2,4.2257,-2.1125,-6.3382,1.144584735,-6.11722344,7.261808175,3.257084735,7.482784735,5.369934735
1552,Ge1 Br2,2.4443,-2.8682,-5.3125,1.320213487,-5.1010202,6.421233687,4.188413487,6.632713487,5.410563487
3490,Tl2 S2,0.8755,-3.7779,-4.6534,1.847618669,-4.43688737,6.284506039,5.625518669,6.501018669,6.063268669
3385,Al2 Te2,1.8871,-1.4054,-3.2925,2.087234081,-3.07661532,5.163849401,3.492634081,5.379734081,4.436184081
2734,Pd1 Se2,0.6455,-3.4581,-4.1036,1.301689107,-3.88477695,5.186466057,4.759789107,5.405289107,5.082539107
