,huid,lat_a,lat_b,lat_c
243,huid-12757-AB,3.9748832753398524,3.974880777957708,38.0
244,huid-11385-AB,3.765683977474441,3.765698263627208,38.0
245,huid-5130-AA,3.533164709491734,3.533160431940949,38.0
246,huid-16088-AA,3.134860418937768,3.134961177544561,38.0
247,huid-13011-AA,3.983033856484009,3.9830372828271625,38.0
248,huid-10404-AB,3.9176353225039278,3.917629912575415,38.0
249,huid-11613-AA,3.5764908333053085,3.5765570058393865,38.0
250,huid-6132-AA,3.8594009477294704,3.8593988508396944,38.0
251,huid-13872-AA,3.861713693889104,3.861712956259924,38.0
252,huid-15456-AA,4.283570465107861,4.283565073651634,38.0
253,huid-5962-AA,3.3025700471304225,3.302570951213373,38.0
254,huid-244-AA,3.7506265603747693,3.750627313309098,38.0
255,huid-3943-AA,3.6948877594383505,3.6948876924100555,38.0
256,huid-7202-AA,3.6369901960921385,3.637241824241414,38.0
257,huid-8762-AB,3.99768003697158,3.997680515383251,38.0
258,huid-5499-AB,4.102468388583924,4.102494072632287,38.0
259,huid-12056-AB,4.146570301560157,4.146269454849498,38.0
260,huid-7235-AB,3.696223206422802,3.696215121252243,38.0
261,huid-3588-AA,3.249055501369103,3.2490090196023926,38.0
262,huid-15016-AB,3.7031856730701054,3.703177425754346,38.0
263,huid-6105-AB,3.857310804554205,3.8573147087643647,38.0
264,huid-6703-AA,3.196783141949606,3.196785067799794,38.0
265,huid-11246-AB,4.05928608630538,4.059835360229319,38.0
266,huid-9284-AB,3.896639462707689,3.8966678511927544,38.0
267,huid-5709-AA,3.450474668001028,3.4504747183222477,38.0
268,huid-3777-AA,3.435856199366842,3.4358562635059795,38.0
269,huid-7970-AA,3.663698426637636,3.66369853778675,38.0
270,huid-851-AA,4.148226339475921,4.148224229063187,38.0
271,huid-8572-AA,3.73957778469288,3.7395659191116457,38.0
272,huid-11702-AB,3.595659910720112,3.595808467123969,38.0
273,huid-9446-AB,3.2707902482519877,3.270773590093702,38.0
274,huid-291-AB,3.783323004255602,3.7833083253710944,38.0
275,huid-8203-AA,4.2754787614129635,4.27545124056299,38.0
276,huid-12367-AA,3.6645497850348745,3.6645981796332268,38.0
277,huid-9024-AB,3.793549424990933,3.793549585655796,38.0
278,huid-13391-AB,4.139023565182084,4.138201077946807,38.0
279,huid-958-AB,4.123518310507172,4.12351821083162,38.0
280,huid-3967-AB,3.74699510122585,3.7469476019655903,38.0
281,huid-12662-AB,3.509898441797791,3.5099111079128735,38.0
282,huid-1138-AA,3.548887038356208,3.548886766845634,38.0
283,huid-4429-AA,4.0476919387292645,4.047916111785525,38.0
284,huid-8203-AB,4.280981657500985,4.280980984067709,38.0
285,huid-7960-AA,3.7069056000213942,3.706905362348813,38.0
286,huid-6814-AA,3.735204696633909,3.7352056138003014,38.0
287,huid-15851-AA,4.401458776552063,4.401440119237428,38.0
288,huid-8743-AA,4.057981886192687,4.05835252012832,38.0
289,huid-16219-AB,3.9965012938785707,3.996725639688532,38.0
290,huid-3938-AB,3.7167705069444166,3.716770471034729,38.0
291,huid-15033-AA,3.6361612883021563,3.6361603002389846,38.0
292,huid-7399-AB,3.8611073828250686,3.861077140634067,38.0
293,huid-10952-AB,4.070602014312706,4.070623762181138,38.0
294,huid-16458-AA,3.16604698075527,3.1663640696589166,38.0
295,huid-8505-AA,3.7047219839784233,3.704810159845775,38.0
296,huid-12742-AB,3.9876361855138023,3.9871497756301246,38.0
297,huid-6830-AB,3.710094486478987,3.7100944256263837,38.0
298,huid-4108-AB,3.657507257061951,3.6575070726661147,38.0
299,huid-6416-AA,4.249276558177878,4.249331407224564,38.0
300,huid-3967-AA,3.7433973113065364,3.743352997281531,38.0
301,huid-7041-AA,3.4915288106629303,3.4915297775171266,38.0
302,huid-6810-AB,3.746467857983093,3.7464571210594646,38.0
303,huid-6844-AB,3.7338272605973515,3.7338332183435265,38.0
304,huid-12347-AB,3.6693104522083364,3.6694205536773197,38.0
305,huid-8797-AB,4.0321096678698405,4.031700301439053,38.0
306,huid-6132-AB,3.8668294198273543,3.8668423058460135,38.0
307,huid-3163-AB,4.074008573776066,4.073985539382505,38.0
308,huid-1549-AA,4.114266153903291,4.114276344118587,38.0
309,huid-6796-AA,3.7096336127557223,3.7096339666821234,38.0
310,huid-11350-AA,3.777531372831573,3.777523140121025,38.0
311,huid-12640-AB,3.214775019139792,3.2147744144357615,38.0
312,huid-1919-AA,3.5338207460688027,3.533821043908347,38.0
313,huid-7210-AB,3.644468040643673,3.6444682428497654,38.0
314,huid-11668-AA,3.652696529741565,3.6526944690328427,38.0
315,huid-9101-AB,3.9023561850645097,3.9025327339159452,38.0
316,huid-4538-AB,3.342589015336185,3.3425884453029733,38.0
317,huid-4288-AA,3.9022276083421343,3.902847528680882,38.0
318,huid-239-AA,3.798964286931918,3.79896452732755,38.0
319,huid-1430-AA,4.035406664387337,4.035451433091833,38.0
320,huid-7593-AA,3.4855467655536345,3.4855611502303088,38.0
321,huid-3987-AA,3.666876597959959,3.66687655752709,38.0
322,huid-3929-AA,3.7167868735834935,3.7167868934903594,38.0
323,huid-15931-AB,4.248227244053588,4.249319090141138,38.0
324,huid-10999-AA,4.142440708284715,4.142547745890943,38.0
325,huid-239-AB,3.804129735462491,3.8041294794980427,38.0
